Key	NA	CA	DA6	DA12	DA24
AT3G45140.1	-0.182061	-0.111187	0.05426	0.040261	0.159353
AT3G45310.1	-0.236153	-0.210747	-0.124367	-0.058831	0.27901
AT3G46060.1	-0.404363	-0.330897	-0.110498	-0.070519	0.386508
AT3G46110.1	-0.332761	-0.118955	0.012284	0.101467	0.65798
AT3G46430.1	0.127548	-0.200195	-0.055696	-0.024276	0.159081
AT3G46740.1	-0.568646	-0.568646	-0.568646	-0.518228	-0.26614
AT3G46780.1	2.701413	2.770528	3.094894	3.26239	3.434848
AT3G46970.1	-1.21034	-1.698323	-1.79592	-1.698175	-1.20945
AT3G47070.1	-0.037581	-0.373102	-0.238284	-0.160668	0.252652
AT3G47110.1	-1.404725	0.111012	0.246937	-0.183712	-0.482031
AT3G47370.1	-0.136081	-0.237783	-0.252311	-0.202073	0.187142
AT3G47470.1	-1.011098	-0.418954	-0.11675	-0.061181	-0.110449
AT3G47520.1	-0.166969	-0.34369	-0.118668	0.122997	0.423441
AT3G47650.1	0.016809	-0.0909	-0.112442	0.027881	0.729495
AT3G47800.1	-0.213081	0.068509	0.130839	0.059162	0.041439
AT3G48000.1	-0.147863	-0.127879	-0.067925	-0.012212	0.336297
AT3G48170.1	-0.160425	-0.182879	-0.18737	-0.102842	0.319801
AT3G48190.1	-0.769352	-0.204591	0.121507	0.104466	0.285689
AT3G48420.1	-0.308257	-0.268511	-0.149275	-0.110018	0.225378
AT3G48670.1	-0.317557	-0.262338	-0.09668	-0.086247	0.159182
AT3G48730.1	-0.251488	-0.506195	-0.410865	-0.195442	0.109843
AT3G48770.1	-0.150357	-0.260568	-0.542421	-0.291794	0.197552
AT3G48810.1	-0.149906	-0.149906	-0.125507	-0.125189	-0.312694
AT3G48850.1	-0.109688	-0.217881	-0.068408	0.104001	0.321542
AT3G48930.1	0.030686	-0.168274	-0.351051	-0.510431	0.158938
AT3G49010.1	-0.119616	-0.260272	-0.07899	0.122656	0.392154
AT3G49120.1	-0.426145	-0.388469	-0.275441	-0.235268	0.097464
AT3G49560.1	0.051758	-0.265502	-0.295677	-0.05571	0.1906
AT3G49900.1	0.229839	-0.008692	-0.042768	-0.040648	0.29367
AT3G49910.1	-0.138611	-0.101272	0.010745	0.066074	0.473408
AT3G50050.1	-0.163983	-0.58551	-0.275936	-0.117541	0.277491
AT3G50280.1	-0.285819	-0.264675	-0.192783	-0.150724	0.068027
AT3G50651.1	-0.752344	-0.452556	-0.042275	-0.136112	-0.167391
AT3G50820.1	0.073787	-0.367545	-0.207548	-0.142002	0.216764
AT3G51260.1	-0.223465	0.071388	0.343347	0.202769	-0.233884
AT3G51570.1	-0.568812	-0.316602	-0.261267	-0.151303	0.404634
AT3G51800.1	3.79065	3.454927	3.406967	3.411186	3.887907
AT3G51840.1	-2.396328	-1.124122	-0.858005	-0.893077	-1.053841
AT3G52150.1	0.001058	-0.030865	-0.126634	0.325322	2.473367
AT3G52180.1	-0.211161	-0.112091	0.074999	0.26736	0.526582
AT3G52300.1	-0.167156	-0.28006	-0.140569	-0.000566	0.15469
AT3G52380.1	0.023498	-0.27712	-0.192576	-0.166956	-0.241467
AT3G52720.1	-0.008383	-0.032948	-0.134599	-0.130956	0.017915
AT3G52880.1	-0.331076	-0.331076	-0.19594	0.103467	0.553198
AT3G52930.1	-0.002434	-0.282122	-0.069657	0.261845	0.705961
AT3G52960.1	-0.581035	-0.581035	-0.581245	-0.581655	-0.582085
AT3G52990.1	-0.123776	-0.465152	-0.347696	-0.158937	0.104236
AT3G53020.1	1.943674	2.008839	1.966398	1.636396	2.058465
AT3G53260.1	-0.122547	-0.394291	-0.176454	0.13508	0.534631
AT3G53420.1	-0.060448	-0.320499	-0.372509	-0.208978	0.608678
AT3G53460.1	-0.46879	-0.30701	0.17833	0.056995	0.01655
AT3G53540.1	-0.233314	-0.344749	-0.815852	-0.754432	0.222843
AT3G54050.1	-0.705316	-0.306308	-0.104306	-0.142751	-0.182227
AT3G54400.1	-0.445738	-0.491159	-0.406669	-0.290738	-0.150125
AT3G54470.1	-0.772479	0.116689	0.351642	0.263315	0.217755
AT3G54640.1	-0.270788	-0.353777	-0.294815	-0.205037	0.181092
AT3G54820.1	-0.109515	-0.110803	-0.11106	-0.076599	0.095706
AT3G54890.1	-0.371075	-0.320155	-0.167395	-0.120447	0.292514
AT3G54900.1	-0.121963	-0.412062	-0.470082	-0.382427	0.055846
AT3G54910.1	-0.683283	-0.621848	-0.337535	-0.193061	-0.036727
AT3G55060.1	-0.286954	-0.286954	-0.286954	-0.286954	-0.286954
AT3G55070.1	-0.486921	-0.35209	0.052403	-0.010947	0.144209
AT3G55120.1	-0.250618	-0.645926	-0.724988	-0.52851	0.453883
AT3G55280.1	-0.140476	-0.463533	-0.269699	-0.199456	0.184063
AT3G55410.1	-0.130615	-0.452444	-0.288923	-0.244865	0.003908
AT3G55440.1	-0.2365	-0.195867	-0.07397	-0.076111	0.055394
AT3G55500.1	-0.634373	-0.981745	-0.773322	-0.701867	-0.309856
AT3G55700.1	-0.274188	-0.07468	-0.00843	-0.022793	-0.061673
AT3G55800.1	-0.166526	-0.449509	-0.506105	-0.466786	-0.270189
AT3G56070.1	-0.424636	-0.225282	-0.185411	-0.120988	0.201129
AT3G56150.1	-4.069723	-4.75775	-4.344934	-4.245029	-3.676704
AT3G56190.1	-0.568166	-0.531879	-0.42302	-0.346982	0.16021
AT3G56240.1	-0.159648	-0.318054	-0.222913	-0.178768	0.057042
AT3G56310.1	-0.339492	-0.166389	0.101497	-0.010943	0.164386
AT3G56320.1	-0.223182	-0.292456	-0.406666	-0.136905	0.243939
AT3G56490.1	-2.315836	-2.104281	-1.923437	-1.931017	-1.792908
AT3G56910.1	-0.336161	-0.170015	-0.052169	-0.019938	0.246986
AT3G56940.1	-0.276347	-0.223023	0.044466	0.206415	0.369542
